date,price_per_square,long,lat,county,street
2003-04-01,115.158371040724,-122.241561,37.759344,Alameda County,1220 Broadway
2003-04-01,80,-122.268385,37.762781,Alameda County,429 Fair Haven Road
2003-04-01,131.5,-122.231833,37.766495,Alameda County,2804 Fernside Boulevard
2003-04-01,235.925925925926,-122.237076,37.758575,Alameda County,1316 Grove Street
2003-04-01,221.067415730337,-122.280552,37.774537,Alameda County,557 Haight Avenue
2003-04-01,106,-122.239525,37.734379,Alameda County,1037 Island Drive
2003-04-01,136.91451031772,-122.250827,37.770387,Alameda County,1531 Lincoln Lane
2003-04-01,94.6,-122.264645,37.763291,Alameda County,1216 Rosewood Way
2003-04-01,149.122807017544,-122.241549,37.758334,Alameda County,2630 San Jose Avenue
2003-04-01,107.913669064748,-122.237921,37.759439,Alameda County,1325 Versailles Avenue
2003-04-01,99.609375,-122.269789,37.777469,Alameda County,1805 Wood Street
2003-04-01,132,-122.232947,37.765398,Alameda County,2800 Yosemite Avenue
2003-04-01,126.358695652174,-122.287415,37.889108,Alameda County,1461 Marin Avenue
2003-04-01,189.61038961039,-122.286952,37.883873,Alameda County,1071 Peralta Avenue
2003-04-01,78.5714285714286,-122.296404,37.866368,Alameda County,2136 7th Street
2003-04-01,145.833333333333,-122.266245,37.860686,Alameda County,2145 Derby Street
2003-04-01,134.62962962963,-122.275622,37.882144,Alameda County,1349 Josephine Street
2003-04-01,113.018867924528,-122.26125,37.893288,Alameda County,1021 Keeler Avenue
2003-04-01,182.539682539683,-122.269686,37.857412,Alameda County,2828 Milvia Street
2003-04-01,75.0208391219783,-122.255186,37.887843,Alameda County,2834 Shasta Road
2003-04-01,250.420168067227,-122.270515,37.887559,Alameda County,1111 Shattuck Avenue
2003-04-01,91.005291005291,-122.28002,37.85702,Alameda County,1502 Stuart Street
2003-04-01,36.6666666666667,-122.275963,37.886215,Alameda County,1147 The Alameda
2003-04-01,71.4285714285714,-122.268529,37.852222,Alameda County,2000 Woolsey Street
2003-04-01,99.8770743700061,-122.101418,37.702815,Alameda County,19036 Dalmatia Place
2003-04-01,37.465564738292,-122.064106,37.695739,Alameda County,4122 David Street
2003-04-01,58.0232092837135,-122.079565,37.706362,Alameda County,19188 Garrison Avenue
2003-04-01,56.6976127320955,-122.066255,37.691183,Alameda County,3104 Greenview Drive
2003-04-01,98.791121680539,-122.07629,37.715729,Alameda County,17672 Hillside Court
2003-04-01,118.885207561879,-122.084063,37.704218,Alameda County,3746 La Costa Avenue
2003-04-01,60.3478260869565,-122.098068,37.694107,Alameda County,17214 President Drive
2003-04-01,226.718047527296,-122.079384,37.703796,Alameda County,5361 San Simeon Place
2003-04-01,57.1661902817477,-122.083541,37.701539,Alameda County,3422 Somerset Avenue
2003-04-01,60.7575757575758,-121.92529,37.717357,Alameda County,7596 Burnham Way
2003-04-01,62.6915575369184,-121.923711,37.71211,Alameda County,7083 Lancaster Court
2003-04-01,182.083171395258,-121.936577,37.70742,Alameda County,7476 Odyssey Way
2003-04-01,91.4285714285714,-121.941439,37.704275,Alameda County,7379 Shadow Place
2003-04-01,106.578947368421,-121.925676,37.714179,Alameda County,8142 South Locust Place
2003-04-01,53.3504054630815,-121.937329,37.712845,Alameda County,7852 Starward Drive
2003-04-01,232.972972972973,-121.94742,37.706136,Alameda County,11422 Winding Trail Lane
2003-04-01,194.830062230732,-121.947499,37.706207,Alameda County,11427 Winding Trail Lane
2003-04-01,66.4469487561131,-121.946724,37.716962,Alameda County,11707 Zapata Court
2003-04-01,79.8245614035088,-121.973466,37.514745,Alameda County,5645 Antone Road
2003-04-01,72.7586206896552,-122.03041,37.568361,Alameda County,4122 Ardo Street
2003-04-01,75.0736015701668,-122.024599,37.561499,Alameda County,36054 Asquith Place
2003-04-01,160.43956043956,-122.050419,37.566758,Alameda County,4842 Balthazar Terrace
2003-04-01,63.5833333333333,-121.967906,37.527237,Alameda County,40227 Blacow Road
2003-04-01,184.615384615385,-121.9662,37.56958,Alameda County,36 Blue Coral Terrace
2003-04-01,415.20979020979,-121.975857,37.545556,Alameda County,3637 Braxton Common
2003-04-01,63.1614885626494,-121.975375,37.516224,Alameda County,5565 Butano Park Drive
2003-04-01,78.1123522745669,-122.025683,37.575655,Alameda County,3255 Cade Drive
2003-04-01,65.0054171180932,-122.011429,37.547211,Alameda County,4746 Central Avenue
2003-04-01,75.2,-121.953283,37.516642,Alameda County,43349 Columbia Avenue
2003-04-01,77.6053215077605,-122.025049,37.562047,Alameda County,36002 Cripps Place
2003-04-01,391.725352112676,-121.967906,37.527237,Alameda County,3555 Dayton Common
2003-04-01,62.6052188552189,-122.000997,37.548505,Alameda County,4368 Dorsey Avenue
2003-04-01,60.6004789095598,-122.018035,37.54734,Alameda County,37238 Dutra Way
2003-04-01,196.160267111853,-121.994332,37.562218,Alameda County,4420 Elaiso Common
2003-04-01,40.7643312101911,-121.9211,37.531529,Alameda County,43414 Ellsworth Street
2003-04-01,82.3027718550107,-121.916569,37.480647,Alameda County,711 Gable Drive
2003-04-01,83.728813559322,-122.025568,37.560393,Alameda County,4403 Gibraltar Drive
2003-04-01,68.5508578431373,-121.98088,37.524255,Alameda County,5093 Hilo Street
2003-04-01,69.98556998557,-121.957412,37.538874,Alameda County,3184 Ingersoll Place
2003-04-01,81.0344827586207,-122.015966,37.571639,Alameda County,3258 Isherwood Way
2003-04-01,44.205495818399,-121.943380648956,37.5329919146191,Alameda County,2364 Jackson Street
2003-04-01,92.2222222222222,-122.058157,37.569567,Alameda County,33854 Juliet Circle
2003-04-01,132.070769997508,-122.055261,37.563156,Alameda County,34234 Kenwood Drive
2003-04-01,65.1282051282051,-121.999919,37.546963,Alameda County,38473 Kerlin Street
2003-04-01,430.720145852325,-121.977273,37.546199,Alameda County,3632 Langdon Common
2003-04-01,122.199592668024,-121.975945,37.560818,Alameda County,38758 Litchfield Circle
2003-04-01,536.986301369863,-121.976454,37.545847,Alameda County,3608 Madison Common
2003-04-01,100.884955752212,-121.942214,37.537163,Alameda County,2029 Mento Drive
2003-04-01,61.9047619047619,-121.968198,37.542635,Alameda County,3526 Mission View Drive
2003-04-01,91.7310968418294,-121.927447,37.521674,Alameda County,43871 North Moray Street
2003-04-01,72.4770642201835,-121.991838,37.535185,Alameda County,4791 Phelan Avenue
2003-04-01,76.8194070080863,-121.973316,37.533529,Alameda County,4437 Porter Street
2003-04-01,63.6363636363636,-122.022128,37.555333,Alameda County,4632 Portola Drive
2003-04-01,224.524076147816,-121.967906,37.527237,Alameda County,4019 Randy Common
2003-04-01,89.2124692370796,-121.977337,37.572747,Alameda County,378 Riverside Avenue
2003-04-01,57.6616756928958,-121.963613,37.540608,Alameda County,3355 Rockett Drive
